algorithm,Index,Category,Descriptor,Group,R2,RMSE,MSE,MAE,Spearman
randomforestregressor,ARGP820101,hydrophobic,"['dipeptide_composition', 'quasi_sequence_order']",", Composition, Composition, Sequence Order",0.820834571651402,13.797851204841715,192.55230249999983,9.929250000000001,0.856961209452147
randomforestregressor,ARGP820101,hydrophobic,"['amino_acid_composition', 'conjoint_triad']",", Composition, Composition, Conjoint Triad",0.8195697229517067,12.39230725374426,188.33136499999992,9.326000000000002,0.851558793117362
randomforestregressor,ARGP820101,hydrophobic,"['geary_autocorrelation', 'sequence_order_coupling_number']",", Autocorrelation, Autocorrelation, Sequence Order",0.8168735500888176,13.83328765530996,204.18018375000003,11.520625,0.7888131579790238
randomforestregressor,ARGP820101,hydrophobic,"['dipeptide_composition', 'sequence_order_coupling_number']",", Composition, Composition, Sequence Order",0.8154917064946753,13.477214353019605,206.00379125000023,10.356375000000003,0.8130697603067979
randomforestregressor,ARGP820101,hydrophobic,"['conjoint_triad', 'geary_autocorrelation']",", Conjoint Triad, Conjoint Triad, Autocorrelation",0.8096038278514008,13.20595165068475,210.85319874999988,11.294375000000008,0.8330183867765761
randomforestregressor,ARGP820101,hydrophobic,"['dipeptide_composition', 'conjoint_triad']",", Composition, Composition, Conjoint Triad",0.804812467271401,12.776718639357725,201.2338687500002,9.518875000000001,0.8830407331243961
randomforestregressor,ARGP820101,hydrophobic,"['amino_acid_composition', 'geary_autocorrelation']",", Composition, Composition, Autocorrelation",0.8035759388531829,13.515203898597914,204.14977750000003,11.067624999999994,0.8180115637155382
randomforestregressor,ARGP820101,hydrophobic,"['sequence_order_coupling_number', 'quasi_sequence_order']",", Sequence Order, Sequence Order, Sequence Order",0.8022673408981321,13.473499163227652,223.1189025000002,9.733874999999996,0.8449397472424263
randomforestregressor,ARGP820101,hydrophobic,"['amino_acid_composition', 'quasi_sequence_order']",", Composition, Composition, Sequence Order",0.8003464298696781,13.865073832151676,207.9137000000003,10.214375000000004,0.8209024349077729
randomforestregressor,ARGP820101,hydrophobic,"['amino_acid_composition', 'sequence_order_coupling_number']",", Composition, Composition, Sequence Order",0.7971220686885813,13.685017195301674,226.99716125000003,10.836500000000003,0.8139961635313014
randomforestregressor,ARGP820101,hydrophobic,"['conjoint_triad', 'sequence_order_coupling_number']",", Conjoint Triad, Conjoint Triad, Sequence Order",0.7963668102919346,13.674846805875115,223.36466124999998,10.658499999999998,0.8094220343088587
randomforestregressor,ARGP820101,hydrophobic,"['dipeptide_composition', 'geary_autocorrelation']",", Composition, Composition, Autocorrelation",0.7946288774609125,13.135645882071572,210.3932174999999,10.545374999999998,0.8097217828029741
randomforestregressor,ARGP820101,hydrophobic,"['amino_acid_composition', 'dipeptide_composition']",", Composition, Composition, Composition",0.7909233802694245,12.351648144135735,194.84295875000004,9.65425,0.870192838012042
randomforestregressor,ARGP820101,hydrophobic,"['conjoint_triad', 'quasi_sequence_order']",", Conjoint Triad, Conjoint Triad, Sequence Order",0.7888709373452978,13.335286527262557,204.56250375000008,10.580124999999997,0.8207969539368977
randomforestregressor,ARGP820101,hydrophobic,"['geary_autocorrelation', 'quasi_sequence_order']",", Autocorrelation, Autocorrelation, Sequence Order",0.7850497547877507,13.989014744069456,201.8318537500001,10.854874999999996,0.8303831185444064
