algorithm,Index,Category,Descriptor,Group,R2,RMSE,MSE,MAE,Spearman
randomforestregressor,ARGP820103,composition,"['amino_acid_composition', 'conjoint_triad']",", Composition, Composition, Conjoint Triad",0.8253263093917645,12.264758721260701,184.45656124999994,9.675000000000004,0.8602340884684029
randomforestregressor,ARGP820103,composition,"['sequence_order_coupling_number', 'quasi_sequence_order']",", Sequence Order, Sequence Order, Sequence Order",0.8127417712416392,14.110008286210526,236.33025749999996,10.523875000000004,0.840060948809727
randomforestregressor,ARGP820103,composition,"['amino_acid_composition', 'dipeptide_composition']",", Composition, Composition, Composition",0.8092254067800866,13.024885151789627,193.94286625,9.711375000000004,0.8535547455578631
randomforestregressor,ARGP820103,composition,"['dipeptide_composition', 'quasi_sequence_order']",", Composition, Composition, Sequence Order",0.8086650417445022,13.441752699594383,207.71398250000007,9.640124999999994,0.8762208675416552
randomforestregressor,ARGP820103,composition,"['dipeptide_composition', 'sequence_order_coupling_number']",", Composition, Composition, Sequence Order",0.8003391131580667,13.224355620262994,204.34870375000003,10.210499999999993,0.8173446288081955
randomforestregressor,ARGP820103,composition,"['geary_autocorrelation', 'sequence_order_coupling_number']",", Autocorrelation, Autocorrelation, Sequence Order",0.7998518712034637,14.210317903713854,218.41302250000004,10.926124999999997,0.8124129818225159
randomforestregressor,ARGP820103,composition,"['conjoint_triad', 'geary_autocorrelation']",", Conjoint Triad, Conjoint Triad, Autocorrelation",0.7974770754238759,13.671646647142964,207.00111374999992,10.816499999999996,0.8253990951640997
randomforestregressor,ARGP820103,composition,"['dipeptide_composition', 'conjoint_triad']",", Composition, Composition, Conjoint Triad",0.7973967923561877,12.170966436834048,193.5048675000001,9.460249999999997,0.8609131551269591
randomforestregressor,ARGP820103,composition,"['conjoint_triad', 'quasi_sequence_order']",", Conjoint Triad, Conjoint Triad, Sequence Order",0.7936268235826693,14.32222285725867,234.15635750000015,10.564374999999998,0.8366151064307958
randomforestregressor,ARGP820103,composition,"['dipeptide_composition', 'geary_autocorrelation']",", Composition, Composition, Autocorrelation",0.7909888482429352,13.435154736888364,208.2688124999999,10.830624999999998,0.8373324573546099
randomforestregressor,ARGP820103,composition,"['conjoint_triad', 'sequence_order_coupling_number']",", Conjoint Triad, Conjoint Triad, Sequence Order",0.7904969441002333,14.428060176797747,240.53719625,10.682124999999996,0.8006612399058269
randomforestregressor,ARGP820103,composition,"['amino_acid_composition', 'sequence_order_coupling_number']",", Composition, Composition, Sequence Order",0.7903752668398643,14.343856606965494,215.90427125000002,10.697999999999999,0.8512385506704497
randomforestregressor,ARGP820103,composition,"['amino_acid_composition', 'geary_autocorrelation']",", Composition, Composition, Autocorrelation",0.7788661987720973,14.499961706123031,223.27996000000002,11.543624999999997,0.8417012233943423
randomforestregressor,ARGP820103,composition,"['amino_acid_composition', 'quasi_sequence_order']",", Composition, Composition, Sequence Order",0.7741695211713595,13.77062436423454,232.17615500000005,10.420125,0.8464653717948046
randomforestregressor,ARGP820103,composition,"['geary_autocorrelation', 'quasi_sequence_order']",", Autocorrelation, Autocorrelation, Sequence Order",0.7645266963877377,14.190575114774367,223.30081124999992,10.870624999999999,0.8082810965845295
